Country,Happiness,Homosexuals,Immigrants,Race,Religion,Language
Netherlands,7.376999855,3.0,17.7,5.4,2.4,10.3
Canada,7.315999985,10.2,8.8,4.5,5.9,7.8
New Zealand,7.31400013,7.6,4.7,2.7,1.6,4.4
Australia,7.28399992,11.8,8.9,3.9,3.4,10.1
United States,6.993000031,12.7,8.0,3.0,2.6,8.7
Germany,6.951000214,7.4,5.3,3.8,2.8,4.9
Chile,6.65199995,27.7,13.2,6.9,5.9,5.7
Brazil,6.635000229,6.8,2.6,1.4,2.5,6.5
Czechia,6.609000206,18.9,45.0,24.5,9.5,11.5
Argentina,6.598999977,8.6,4.1,2.7,2.2,4.0
Mexico,6.578000069,22.7,13.6,11.4,14.0,12.5
Singapore,6.572000027,25.7,11.3,2.1,2.0,2.0
Uruguay,6.453999996,4.7,3.3,0.6,2.7,4.2
Guatemala,6.453999996,40.6,29.5,30.2,32.7,32.1
Thailand,6.423999786,35.7,38.9,32.1,25.1,25.7
Colombia,6.356999874,28.1,14.1,10.2,13.1,9.0
Slovakia,6.09800005,38.1,36.1,24.8,11.1,9.9
Malaysia,6.084000111,60.4,50.6,5.5,6.8,4.1
Nicaragua,6.071000099,33.2,20.5,19.8,21.6,21.3
Ecuador,6.007999897,31.5,10.4,6.0,14.2,14.2
Uzbekistan,5.971000195,24.2,9.2,14.2,70.4,6.9
Russia,5.962999821,66.1,32.2,14.7,11.3,12.6
Japan,5.920000076,26.4,29.1,14.3,18.7,8.4
South Korea,5.837999821,79.6,22.0,15.2,5.5,12.9
Romania,5.824999809,53.7,27.4,18.1,6.5,5.8
Bolivia,5.822999954,25.3,8.9,4.6,6.3,5.9
Kazakhstan,5.818999767,73.4,21.4,10.3,9.6,4.1
Peru,5.715000153,35.0,18.2,6.9,7.0,5.2
Cyprus,5.620999813,39.0,20.0,15.2,15.7,9.3
Libya,5.525000095,62.6,23.2,8.4,20.0,8.7
Turkey,5.5,75.8,48.1,41.2,41.4,35.9
Hong Kong SAR,5.472000122,23.9,9.0,10.9,5.6,7.3
Philippines,5.429999828,17.8,16.7,20.5,12.6,32.2
Serbia,5.394999981,51.7,35.2,21.1,25.0,15.5
Jordan,5.335999966,93.8,27.6,24.4,23.6,22.9
China,5.272999763,70.8,25.6,18.0,30.7,18.8
Pakistan,5.269000053,41.2,30.2,25.3,31.9,25.5
Indonesia,5.262000084,74.3,16.6,9.1,16.1,10.4
Venezuela,5.25,31.6,10.3,7.9,9.3,12.3
Morocco,5.235000134,79.9,23.2,13.5,23.7,16.9
Greece,5.227000237,33.3,25.7,24.4,21.6,13.5
Lebanon,5.224999905,47.7,40.2,35.9,31.2,30.3
Vietnam,5.073999882,76.1,52.8,62.4,50.0,49.8
Nigeria,5.073999882,89.0,13.4,15.8,13.4,9.6
Kyrgyzstan,5.004000187,73.3,20.9,25.7,32.4,12.2
Mongolia,4.954999924,45.8,29.3,20.6,25.4,15.6
Tunisia,4.804999828,54.9,23.8,20.6,32.5,23.1
Egypt,4.735000134,84.0,20.0,16.5,13.4,25.7
Bangladesh,4.607999802,77.3,39.5,31.8,33.8,45.3
Kenya,4.552999973,73.1,6.8,6.8,3.7,2.6
Myanmar,4.545000076,91.3,72.8,70.4,71.2,70.8
Iraq,4.497000217,55.1,38.5,31.8,34.8,40.2
Ethiopia,4.460000038,69.1,16.1,16.4,11.3,7.1
Armenia,4.375999928,82.2,24.7,27.2,35.6,14.7
India,4.315000057,62.6,44.3,25.4,27.6,24.9
Ukraine,4.096000195,46.2,23.4,23.4,22.5,25.9
Zimbabwe,3.875,89.1,4.9,5.2,5.3,5.6
