Country Name,Country Code,Year,Value
Africa Eastern and Southern,AFE,2023,1.23616E+12
Africa Western and Central,AFW,2023,7.96586E+11
Albania,ALB,2023,22977677861
Algeria,DZA,2023,2.39899E+11
Andorra,AND,2023,3727673593
Angola,AGO,2023,84722957642
Antigua and Barbuda,ATG,2023,2033085185
Arab World,ARB,2023,3.49152E+12
Argentina,ARG,2023,6.40591E+11
Armenia,ARM,2023,24212134631
Australia,AUS,2023,1.72383E+12
Austria,AUT,2023,5.16034E+11
Azerbaijan,AZE,2023,72356176471
"Bahamas, The",BHS,2023,14338500000
Bahrain,BHR,2023,43205000000
Bangladesh,BGD,2023,4.37415E+11
Barbados,BRB,2023,6393564190
Belarus,BLR,2023,71857382746
Belgium,BEL,2023,6.32217E+11
Belize,BLZ,2023,3281500000
Benin,BEN,2023,19673284686
Bolivia,BOL,2023,45849832906
Bosnia and Herzegovina,BIH,2023,27054889363
Botswana,BWA,2023,19395765126
Brazil,BRA,2023,2.17367E+12
Brunei Darussalam,BRN,2023,15128292954
Bulgaria,BGR,2023,1.01584E+11
Burkina Faso,BFA,2023,20324617839
Burundi,BDI,2023,2642161669
Cabo Verde,CPV,2023,2587252076
Cambodia,KHM,2023,31772759999
Cameroon,CMR,2023,47945510090
Canada,CAN,2023,2.14009E+12
Caribbean small states,CSS,2023,53252637670
Central African Republic,CAF,2023,2555492085
Central Europe and the Baltics,CEB,2023,2.25297E+12
Chad,TCD,2023,13149325359
Chile,CHL,2023,3.35533E+11
China,CHN,2023,1.77948E+13
Colombia,COL,2023,3.6354E+11
Comoros,COM,2023,1352380972
"Congo, Dem. Rep.",COD,2023,66383287003
"Congo, Rep.",COG,2023,15321055818
Costa Rica,CRI,2023,86497941439
Cote d'Ivoire,CIV,2023,78788828907
Croatia,HRV,2023,82688842717
Cyprus,CYP,2023,32229622669
Czechia,CZE,2023,3.30858E+11
Denmark,DNK,2023,4.04199E+11
Djibouti,DJI,2023,4098530514
Dominica,DMA,2023,653992592.6
Dominican Republic,DOM,2023,1.21444E+11
Early-demographic dividend,EAR,2023,1.48478E+13
East Asia & Pacific,EAS,2023,3.07757E+13
East Asia & Pacific (IDA & IBRD countries),TEA,2023,2.11241E+13
East Asia & Pacific (excluding high income),EAP,2023,2.11502E+13
Ecuador,ECU,2023,1.18845E+11
Egypt,EGY,2023,3.95926E+11
El Salvador,SLV,2023,34015620000
Equatorial Guinea,GNQ,2023,12116922539
Estonia,EST,2023,40744848828
Eswatini,SWZ,2023,4597855845
Ethiopia,ETH,2023,1.63698E+11
Euro area,EMU,2023,1.55449E+13
Europe & Central Asia,ECS,2023,2.72406E+13
Europe & Central Asia (IDA & IBRD countries),TEC,2023,5.46628E+12
Europe & Central Asia (excluding high income),ECA,2023,2.09835E+12
European Union,EUU,2023,1.83494E+13
Fiji,FJI,2023,5494797541
