Country,Happiness,Homosexuals,Immigrants,Race,Religion,Language
Norway,7.537000179,3.5,5.1,2.6,,
Denmark,7.521999836,2.2,9.5,3.1,,
Iceland,7.504000187,1.9,5.1,1.7,,
Switzerland,7.493999958,6.1,4.9,4.2,,
Finland,7.468999863,12.3,14.5,6.8,,
Netherlands,7.376999855,3,17.7,5.4,2.4,10.3
Canada,7.315999985,10.2,8.8,4.5,5.9,7.8
New Zealand,7.31400013,7.6,4.7,2.7,1.6,4.4
Sweden,7.28399992,2.4,3,1,,
Australia,7.28399992,11.8,8.9,3.9,3.4,10.1
Israel,7.212999821,,,,,
Costa Rica,7.078999996,,,,,
Austria,7.006000042,10.6,17.5,7.9,,
United States,6.993000031,12.7,8,3,2.6,8.7
Ireland,6.977000237,,,,,
Germany,6.951000214,7.4,5.3,3.8,2.8,4.9
Belgium,6.890999794,,,,,
Luxembourg,6.862999916,,,,,
United Kingdom,6.714000225,,,,,
Chile,6.65199995,27.7,13.2,6.9,5.9,5.7
United Arab Emirates,6.647999763,,,,,
Brazil,6.635000229,6.8,2.6,1.4,2.5,6.5
Czechia,6.609000206,18.9,45,24.5,9.5,11.5
Argentina,6.598999977,8.6,4.1,2.7,2.2,4
Mexico,6.578000069,22.7,13.6,11.4,14,12.5
Singapore,6.572000027,25.7,11.3,2.1,2,2
Malta,6.52699995,,,,,
Uruguay,6.453999996,4.7,3.3,0.6,2.7,4.2
Guatemala,6.453999996,40.6,29.5,30.2,32.7,32.1
Panama,6.452000141,,,,,
France,6.441999912,7.9,9.8,3.7,,
Thailand,6.423999786,35.7,38.9,32.1,25.1,25.7
Spain,6.402999878,12.7,13.4,12.5,,
Qatar,6.375,,,,,
Colombia,6.356999874,28.1,14.1,10.2,13.1,9
Saudi Arabia,6.343999863,,,,,
Trinidad and Tobago,6.168000221,,,,,
Kuwait,6.105000019,,,,,
Slovakia,6.09800005,38.1,36.1,24.8,11.1,9.9
Bahrain,6.086999893,,,,,
Malaysia,6.084000111,60.4,50.6,5.5,6.8,4.1
Nicaragua,6.071000099,33.2,20.5,19.8,21.6,21.3
Ecuador,6.007999897,31.5,10.4,6,14.2,14.2
El Salvador,6.002999783,,,,,
Poland,5.97300005,27.9,18.9,7.2,,
Uzbekistan,5.971000195,24.2,9.2,14.2,70.4,6.9
Italy,5.964000225,11.8,17.4,11.7,,
Russia,5.962999821,66.1,32.2,14.7,11.3,12.6
Belize,5.955999851,,,,,
Japan,5.920000076,26.4,29.1,14.3,18.7,8.4
Lithuania,5.90199995,58.2,31.1,21.8,,
Algeria,5.872000217,,,,,
Latvia,5.849999905,37.6,28.6,16.2,,
South Korea,5.837999821,79.6,22,15.2,5.5,12.9
Moldova,5.837999821,,,,,
Romania,5.824999809,53.7,27.4,18.1,6.5,5.8
Bolivia,5.822999954,25.3,8.9,4.6,6.3,5.9
Turkmenistan,5.822000027,,,,,
Kazakhstan,5.818999767,73.4,21.4,10.3,9.6,4.1
North Cyprus,5.809999943,,,,,
Slovenia,5.757999897,29.2,22.5,23,,
Peru,5.715000153,35,18.2,6.9,7,5.2
Mauritius,5.629000187,,,,,
Cyprus,5.620999813,39,20,15.2,15.7,9.3
Estonia,5.611000061,35.6,26.7,15.6,,
Belarus,5.568999767,66.6,32.2,19.5,,
Libya,5.525000095,62.6,23.2,8.4,20,8.7
Turkey,5.5,75.8,48.1,41.2,41.4,35.9
Paraguay,5.493000031,,,,,
Hong Kong SAR,5.472000122,23.9,9,10.9,5.6,7.3
Philippines,5.429999828,17.8,16.7,20.5,12.6,32.2
Serbia,5.394999981,51.7,35.2,21.1,25,15.5
