World Values Survey Wave 7: 2017-2022,,,,,,
Neighbors: Immigrants/foreign workers,,,,,,
,,,,,,
,,,,,,
Country,Mentioned,Not mentioned,Don't know,No answer,Other missing; Multiple answers Mail (EVS) ,(N)
,"21.7% (33,890)","76.0% (118,750)","1.3% (1,965)","0.9% (1,432)",0.1% (189),156226
Albania,7.4,92.2,0.3,0.1,0,1454
Andorra,2.7,97.3,0,0,0,1004
Azerbaijan,29.3,63.3,6.6,0.8,0,1817
Argentina,4.1,95.9,0,0,0,1003
Australia,8.9,91.1,0,0,0,1813
Austria,17.5,79.1,1,2.5,0,1651
Bangladesh,39.5,57.4,2.8,0.3,0,1200
Armenia,24.7,74.2,0.7,0.3,0,2723
Bolivia,8.9,78.2,3.2,9.7,0,2067
Bosnia Herzegovina,30.4,65,3.2,1.4,0,1735
Brazil,2.6,97.4,0,0,0,1762
Bulgaria,49.4,37,4.9,8.6,0,1566
Myanmar,72.8,27.2,0,0,0,1200
Belarus,32.2,64.9,2.6,0.3,0,1548
Canada,8.8,91.2,0,0,0,4018
Chile,13.2,86.8,0,0,0,1000
China,25.6,72.2,0.1,2.1,0,3036
Taiwan ROC,21.7,78.3,0,0,0,1223
Colombia,14.1,85.9,0,0,0,1520
Croatia,19.7,74.1,4.3,2,0,1493
Cyprus,20,77.2,2,0.8,0,1000
Czechia,45,47.7,3.5,3.8,0,3029
Denmark,9.5,90.2,0.2,0.1,0,3369
Ecuador,10.4,89.6,0,0,0,1200
Ethiopia,16.1,83.1,0.7,0.2,0,1230
Estonia,26.7,68,2.4,2.9,0,1304
Finland,14.5,85.5,0,0,0,1220
France,9.8,89.2,0.7,0.2,0,1880
Georgia,30.3,68.3,1.3,0.1,0,2212
Germany,5.3,92.2,1.1,0.2,1.2,3706
Greece,25.7,73.9,0.1,0.3,0,1200
Guatemala,29.5,70.5,0,0,0,1229
Hong Kong SAR,9,91,0,0,0,2075
Hungary,47.7,50.2,1.5,0.5,0,1519
Iceland,5.1,90.4,0.3,4.2,0,1633
India,44.3,48.9,6.8,0,0,1692
Indonesia,16.6,83.4,0,0,0,3200
Iran,41.8,58.2,0,0,0,1499
Iraq,38.5,61.5,0,0,0,1200
Italy,17.4,76.9,3.8,2,0,1615
Japan,29.1,67.8,0,3.1,0,1353
Kazakhstan,21.4,78.6,0,0,0,1276
Jordan,27.6,72.4,0,0,0,1203
Kenya,6.8,90.4,1.4,0.6,0.8,1266
South Korea,22,78,0,0,0,1245
Kyrgyzstan,20.9,79.1,0,0,0,1200
Lebanon,40.2,59.8,0,0,0,1200
Latvia,28.6,65.7,3.4,2.3,0,1334
Libya,23.2,76.8,0,0,0,1196
Lithuania,31.1,58.3,9.2,1.4,0,1453
Macau SAR,44.5,52,0,0,3.5,1023
Malaysia,50.6,49.4,0,0,0,1313
Maldives,23.6,76.1,0,0.3,0,1039
Mexico,13.6,86.2,0.2,0,0,1741
Mongolia,29.3,70.7,0,0,0,1638
Montenegro,55.1,41.9,1,1.9,0,1004
Morocco,23.2,76.8,0,0,0,1200
Netherlands,17.7,79.6,1.2,0.6,0.8,4554
New Zealand,4.7,95.3,0,0,0,1057
Nicaragua,20.5,79.5,0,0,0,1200
Nigeria,13.4,86.6,0,0,0,1237
Norway,5.1,94.4,0.4,0.2,0,1123
Pakistan,30.2,69.8,0,0,0,1995
Peru,18.2,80.9,0,0.8,0.1,1400
Philippines,16.7,83.3,0,0,0,1200
Poland,18.9,73.5,4.6,3,0,1358
Portugal,7.2,91,0.6,1.2,0,1201
Puerto Rico,9.4,90.6,0,0,0,1127
Romania,27.4,68.6,3,1,0,2873
Russia,32.2,67.8,0,0,0,3648
Serbia,35.2,60,2.7,2,0,2566
Singapore,11.3,88.7,0,0,0,2012
Slovakia,36.1,60.9,2.1,0.9,0,2636
Vietnam,52.8,47.2,0,0,0,1200
Slovenia,22.5,76,1,0.5,0,1080
Zimbabwe,4.9,94,0.2,0.6,0.2,1215
Spain,13.4,85.4,0.9,0.2,0,1210
Sweden,3,95.3,0.6,1.1,0,1198
Switzerland,4.9,94.1,0.1,0.9,0,3181
Tajikistan,19.8,80.2,0,0,0,1200
Thailand,38.9,61.1,0,0,0,1500
Tunisia,23.8,71.5,0.3,0,4.3,1208
Turkey,48.1,49.2,2.4,0.3,0,2415
Ukraine,23.4,66.9,6.4,3.2,0,2901
North Macedonia,29.3,60.7,5,5.1,0,1118
Egypt,20,80,0,0,0,1200
Great Britain,5.4,94,0.4,0.2,0.1,4403
United States,8,85.8,3.6,2.6,0,2596
Uruguay,3.3,96.7,0,0,0,1000
Uzbekistan,9.2,90.8,0,0,0,1250
Venezuela,10.3,89.7,0,0,0,1190
Northern Ireland,9.5,90.3,0.3,0,0,447
