World Values Survey Wave 7: 2017-2022,,,,,,
Neighbors: People of a different race,,,,,,
,,,,,,
,,,,,,
Country,Mentioned,Not mentioned,Don't know,No answer,Other missing; Multiple answers Mail (EVS) ,(N)
,"15.4% (24,085)","82.4% (129,212)","1.2% (1,818)","1.0% (1,577)",0.1% (200),156892
Albania,7.7,91.8,0.3,0.2,0,1454
Andorra,3.9,96.1,0,0,0,1004
Azerbaijan,25.2,66.8,6.8,1.2,0,1817
Argentina,2.7,97.3,0,0,0,1003
Australia,3.9,96.1,0,0,0,1813
Austria,7.9,88.6,1,2.5,0,1651
Bangladesh,31.8,66.7,1.2,0.3,0,1200
Armenia,27.2,70.6,1.2,1,0,2723
Bolivia,4.6,82.5,3.2,9.7,0,2067
Bosnia Herzegovina,23.7,71.8,3.1,1.4,0,1735
Brazil,1.4,98.6,0,0,0,1762
Bulgaria,33,49.5,7,10.4,0,1566
Myanmar,70.4,29.6,0,0,0,1200
Belarus,19.5,78,2.1,0.4,0,1548
Canada,4.5,95.5,0,0,0,4018
Chile,6.9,93.1,0,0,0,1000
China,18,79.8,0.1,2.1,0,3036
Taiwan ROC,7.6,92.4,0,0,0,1223
Colombia,10.2,89.8,0,0,0,1520
Croatia,11.2,84.5,2.3,1.9,0,1493
Cyprus,15.2,82.3,2,0.5,0,1000
Czechia,24.5,66.1,3.9,5.5,0,3029
Denmark,3.1,96.5,0.2,0.1,0,3369
Ecuador,6,94,0,0,0,1200
Ethiopia,16.4,82.8,0.7,0.2,0,1230
Estonia,15.6,79.1,2.4,2.9,0,1304
Finland,6.8,93.2,0,0,0,1220
France,3.7,95.2,0.7,0.4,0,1880
Georgia,32.6,66.3,1.1,0,0,2212
Germany,3.8,93.7,1.1,0.2,1.2,3706
Greece,24.4,75.3,0.1,0.3,0,1200
Guatemala,30.2,69.8,0,0,0,1229
Hong Kong SAR,10.9,89.1,0,0,0,2075
Hungary,28.2,69.5,1.3,1.1,0,1519
Iceland,1.7,93.8,0.3,4.2,0,1633
India,25.4,72.1,2.5,0,0,1692
Indonesia,9.1,90.9,0,0,0,3200
Iran,27.6,72.4,0,0,0,1499
Iraq,31.8,68.2,0,0,0,1200
Italy,11.7,82.8,4,1.4,0,2282
Japan,14.3,82.9,0,2.7,0,1353
Kazakhstan,10.3,89.7,0,0,0,1276
Jordan,24.4,75.6,0,0,0,1203
Kenya,6.8,90.4,1.4,0.6,0.8,1266
South Korea,15.2,84.8,0,0,0,1245
Kyrgyzstan,25.7,74.3,0,0,0,1200
Lebanon,35.9,64.1,0,0,0,1200
Latvia,16.2,77.8,3,3,0,1334
Libya,8.4,91.6,0,0,0,1196
Lithuania,21.8,68.6,7.9,1.7,0,1453
Macau SAR,43.3,53.2,0,0,3.5,1023
Malaysia,5.5,94.5,0,0,0,1313
Maldives,26,74,0,0,0,1039
Mexico,11.4,88.4,0.2,0,0,1741
Mongolia,20.6,79.4,0,0,0,1638
Montenegro,20.8,76.9,0.2,2.1,0,1004
Morocco,13.5,86.5,0,0,0,1200
Netherlands,5.4,92,1.2,0.6,0.8,4554
New Zealand,2.7,97.3,0,0,0,1057
Nicaragua,19.8,80.2,0,0,0,1200
Nigeria,15.8,84.2,0,0,0,1237
Norway,2.6,96.9,0.4,0.2,0,1123
Pakistan,25.3,74.7,0,0,0,1995
Peru,6.9,91.9,0,1.2,0.1,1400
Philippines,20.5,79.4,0,0.1,0,1200
Poland,7.2,85.2,4.6,3,0,1358
Portugal,7,90.9,0.9,1.2,0,1201
Puerto Rico,9.2,90.8,0,0,0,1127
Romania,18.1,78.7,2.3,0.9,0,2873
Russia,14.7,85.3,0,0,0,3648
Serbia,21.1,73.5,3,2.4,0,2566
Singapore,2.1,97.9,0,0,0,2012
Slovakia,24.8,72.3,2,0.9,0,2636
Vietnam,62.4,37.6,0,0,0,1200
Slovenia,23,75.7,1.1,0.2,0,1080
Zimbabwe,5.2,93.7,0.2,0.6,0.2,1215
Spain,12.5,86.3,1.1,0.1,0,1210
Sweden,1,97.4,0.6,1.1,0,1198
Switzerland,4.2,94.9,0.1,0.9,0,3181
Tajikistan,24.2,75.8,0,0,0,1200
Thailand,32.1,67.9,0,0,0,1500
Tunisia,20.6,73.5,0.4,0.2,5.3,1208
Turkey,41.2,57.2,1.2,0.4,0,2415
Ukraine,23.4,67.3,5.8,3.4,0,2901
North Macedonia,25,65.4,4.3,5.3,0,1118
Egypt,16.5,83.5,0,0,0,1200
Great Britain,1.7,97.6,0.4,0.2,0.1,4403
United States,3,90.8,3.6,2.6,0,2596
Uruguay,0.6,99.4,0,0,0,1000
Uzbekistan,14.2,85.8,0,0,0,1250
Venezuela,7.9,92.1,0,0,0,1190
Northern Ireland,3.8,96,0.3,0,0,447
