World Values Survey Wave 7: 2017-2022,,,,,,
Neighbors: People of a different religion,,,,,,
,,,,,,
,,,,,,
Country,Mentioned,Not mentioned,Don't know,No answer,Missing; Not available,(N)
,"17.6% (17,126)","81.2% (78,898)",0.6% (561),0.5% (492),0.1% (143),97220
Andorra,3.9,96.1,0,0,0,1004
Argentina,2.2,97.8,0,0,0,1003
Australia,3.4,96.6,0,0,0,1813
Bangladesh,33.8,64.9,0.9,0.4,0,1200
Armenia,35.6,63.2,0.6,0.6,0,1223
Bolivia,6.3,80.7,3.2,9.7,0,2067
Brazil,2.5,97.5,0,0,0,1762
Myanmar,71.2,28.8,0,0,0,1200
Canada,5.9,94.1,0,0,0,4018
Chile,5.9,94.1,0,0,0,1000
China,30.7,67.2,0.2,2,0,3036
Taiwan ROC,4.6,95.4,0,0,0,1223
Colombia,13.1,86.9,0,0,0,1520
Cyprus,15.7,82.1,1.5,0.7,0,1000
Czechia,9.5,87.6,2.4,0.5,0,1200
Ecuador,14.2,85.8,0,0,0,1200
Ethiopia,11.3,87.9,0.7,0.2,0,1230
Germany,2.8,96.9,0.3,0.1,0,1528
Greece,21.6,78.1,0.1,0.3,0,1200
Guatemala,32.7,67.3,0,0,0,1229
Hong Kong SAR,5.6,94.4,0,0,0,2075
India,27.6,69.9,2.5,0,0,1692
Indonesia,16.1,83.9,0,0,0,3200
Iran,33.8,66.2,0,0,0,1499
Iraq,34.8,65.2,0,0,0,1200
Japan,18.7,78.2,0,3.1,0,1353
Kazakhstan,9.6,90.4,0,0,0,1276
Jordan,23.6,76.4,0,0,0,1203
Kenya,3.7,93.5,1.4,0.6,0.8,1266
South Korea,5.5,94.5,0,0,0,1245
Kyrgyzstan,32.4,67.6,0,0,0,1200
Lebanon,31.2,68.8,0,0,0,1200
Libya,20,80,0,0,0,1196
Macau SAR,43,53.3,0,0,3.7,1023
Malaysia,6.8,93.2,0,0,0,1313
Maldives,51.1,48.8,0.1,0,0,1039
Mexico,14,85.8,0.1,0,0,1741
Mongolia,25.4,74.6,0,0,0,1638
Morocco,23.7,76.3,0,0,0,1200
Netherlands,2.4,93.5,1.7,0.7,1.7,2145
New Zealand,1.6,98.4,0,0,0,1057
Nicaragua,21.6,78.4,0,0,0,1200
Nigeria,13.4,86.6,0,0,0,1237
Pakistan,31.9,68.1,0,0,0,1995
Peru,7,92,0,0.9,0,1400
Philippines,12.6,87.4,0,0,0,1200
Puerto Rico,11.1,88.9,0,0,0,1127
Romania,6.5,90.9,2.2,0.4,0,1257
Russia,11.3,88.7,0,0,0,1810
Serbia,25,74.5,0,0.5,0,1046
Singapore,2,98,0,0,0,2012
Slovakia,11.1,86.4,2,0.5,0,1200
Vietnam,50,50,0,0,0,1200
Zimbabwe,5.3,93.6,0.2,0.6,0.2,1215
Tajikistan,26.4,73.6,0,0,0,1200
Thailand,25.1,74.9,0,0,0,1500
Tunisia,32.5,62.7,0.4,0.1,4.2,1208
Turkey,41.4,56.4,1.7,0.5,0,2415
Ukraine,22.5,68.3,8.2,1,0,1289
Egypt,13.4,86.6,0,0,0,1200
Great Britain,1.3,97.8,0.5,0.3,0.1,2609
United States,2.6,91.2,3.6,2.6,0,2596
Uruguay,2.7,97.3,0,0,0,1000
Uzbekistan,70.4,29.6,0,0,0,1250
Venezuela,9.3,90.7,0,0,0,1190
Northern Ireland,3.3,96.4,0.3,0,0,447
