World Values Survey Wave 7: 2017-2022,,,,,,
Neighbors: People who speak a different language,,,,,,
,,,,,,
,,,,,,
Country,Mentioned,Not mentioned,Don't know,No answer,Missing; Not available,(N)
,"15.2% (14,760)","83.6% (81,267)",0.6% (566),0.6% (535),0.1% (93),97220
Andorra,1.8,98.2,0,0,0,1004
Argentina,4,96,0,0,0,1003
Australia,10.1,89.9,0,0,0,1813
Bangladesh,45.3,51.2,3,0.4,0,1200
Armenia,14.7,84,0.6,0.6,0,1223
Bolivia,5.9,81.2,3.2,9.7,0,2067
Brazil,6.5,93.5,0,0,0,1762
Myanmar,70.8,29.2,0,0,0,1200
Canada,7.8,92.2,0,0,0,4018
Chile,5.7,94.3,0,0,0,1000
China,18.8,79,0,2.2,0,3036
Taiwan ROC,7,93,0,0,0,1223
Colombia,9,91,0,0,0,1520
Cyprus,9.3,89.2,0.8,0.7,0,1000
Czechia,11.5,85.6,2.4,0.5,0,1200
Ecuador,14.2,85.8,0,0,0,1200
Ethiopia,7.1,92.8,0,0.2,0,1230
Germany,4.9,94.8,0.3,0.1,0,1528
Greece,13.5,86.2,0.1,0.3,0,1200
Guatemala,32.1,67.9,0,0,0,1229
Hong Kong SAR,7.3,92.7,0,0,0,2075
India,24.9,72.6,2.5,0,0,1692
Indonesia,10.4,89.6,0,0,0,3200
Iran,31.4,68.6,0,0,0,1499
Iraq,40.2,59.8,0,0,0,1200
Japan,8.4,89.6,0,2.1,0,1353
Kazakhstan,4.1,95.9,0,0,0,1276
Jordan,22.9,77.1,0,0,0,1203
Kenya,2.6,94.6,1.4,0.6,0.8,1266
South Korea,12.9,87.1,0,0,0,1245
Kyrgyzstan,12.2,87.8,0,0,0,1200
Lebanon,30.3,69.7,0,0,0,1200
Libya,8.7,91.3,0,0,0,1196
Macau SAR,40.8,55.4,0,0,3.8,1023
Malaysia,4.1,95.9,0,0,0,1313
Maldives,17.7,82.2,0,0.1,0,1039
Mexico,12.5,87.4,0.1,0,0,1741
Mongolia,15.6,84.4,0,0,0,1638
Morocco,16.9,83.1,0,0,0,1200
Netherlands,10.3,85.5,1.7,0.7,1.7,2145
New Zealand,4.4,95.6,0,0,0,1057
Nicaragua,21.3,78.7,0,0,0,1200
Nigeria,9.6,90.4,0,0,0,1237
Pakistan,25.5,74.5,0,0,0,1995
Peru,5.2,94,0,0.8,0,1400
Philippines,32.2,67.8,0,0,0,1200
Puerto Rico,12.2,87.8,0,0,0,1127
Romania,5.8,91.6,2.2,0.4,0,1257
Russia,12.6,87.4,0,0,0,1810
Serbia,15.5,84,0,0.5,0,1046
Singapore,2,98,0,0,0,2012
Slovakia,9.9,87.6,2,0.5,0,1200
Vietnam,49.8,50.2,0,0,0,1200
Zimbabwe,5.6,93.3,0.2,0.6,0.2,1215
Tajikistan,12.2,87.8,0,0,0,1200
Thailand,25.7,74.3,0,0,0,1500
Tunisia,23.1,72.4,0.3,4.1,0,1208
Turkey,35.9,61.3,2,0.8,0,2415
Ukraine,25.9,65.8,7.7,0.6,0,1289
Egypt,25.7,74.3,0,0,0,1200
Great Britain,3.5,95.6,0.5,0.3,0.1,2609
United States,8.7,85.1,3.6,2.6,0,2596
Uruguay,4.2,95.8,0,0,0,1000
Uzbekistan,6.9,93,0,0.1,0.1,1250
Venezuela,12.3,87.7,0,0,0,1190
Northern Ireland,8.3,91.4,0.3,0,0,447
