Country,Happiness,Homosexuals,Immigrants,Race,Religion,Language,Freedom,GDP
netherlands,7.376999855,3.0,17.7,5.4,2.4,10.3,97,1118120000000.0
canada,7.315999985,10.2,8.8,4.5,5.9,7.8,97,2140090000000.0
new zealand,7.31400013,7.6,4.7,2.7,1.6,4.4,99,253466000000.0
australia,7.28399992,11.8,8.9,3.9,3.4,10.1,95,1723830000000.0
united states,6.993000031,12.7,8.0,3.0,2.6,8.7,84,27360900000000.0
germany,6.951000214,7.4,5.3,3.8,2.8,4.9,95,4456080000000.0
chile,6.65199995,27.7,13.2,6.9,5.9,5.7,95,335533000000.0
brazil,6.635000229,6.8,2.6,1.4,2.5,6.5,72,2173670000000.0
czechia,6.609000206,18.9,45.0,24.5,9.5,11.5,95,330858000000.0
argentina,6.598999977,8.6,4.1,2.7,2.2,4.0,85,640591000000.0
mexico,6.578000069,22.7,13.6,11.4,14.0,12.5,59,1788890000000.0
singapore,6.572000027,25.7,11.3,2.1,2.0,2.0,48,501428000000.0
uruguay,6.453999996,4.7,3.3,0.6,2.7,4.2,96,77240831587.0
guatemala,6.453999996,40.6,29.5,30.2,32.7,32.1,48,102050000000.0
thailand,6.423999786,35.7,38.9,32.1,25.1,25.7,34,514945000000.0
colombia,6.356999874,28.1,14.1,10.2,13.1,9.0,70,363540000000.0
slovakia,6.09800005,38.1,36.1,24.8,11.1,9.9,89,132794000000.0
malaysia,6.084000111,60.4,50.6,5.5,6.8,4.1,53,399649000000.0
nicaragua,6.071000099,33.2,20.5,19.8,21.6,21.3,14,17829215284.0
ecuador,6.007999897,31.5,10.4,6.0,14.2,14.2,65,118845000000.0
uzbekistan,5.971000195,24.2,9.2,14.2,70.4,6.9,12,90889149307.0
russia,5.962999821,66.1,32.2,14.7,11.3,12.6,12,2021420000000.0
japan,5.920000076,26.4,29.1,14.3,18.7,8.4,96,4212950000000.0
south korea,5.837999821,79.6,22.0,15.2,5.5,12.9,81,1712790000000.0
romania,5.824999809,53.7,27.4,18.1,6.5,5.8,82,351003000000.0
bolivia,5.822999954,25.3,8.9,4.6,6.3,5.9,65,45849832906.0
kazakhstan,5.818999767,73.4,21.4,10.3,9.6,4.1,23,261421000000.0
peru,5.715000153,35.0,18.2,6.9,7.0,5.2,67,267603000000.0
cyprus,5.620999813,39.0,20.0,15.2,15.7,9.3,91,32229622669.0
libya,5.525000095,62.6,23.2,8.4,20.0,8.7,10,50491722446.0
turkey,5.5,75.8,48.1,41.2,41.4,35.9,33,1108020000000.0
hong kong sar,5.472000122,23.9,9.0,10.9,5.6,7.3,40,382055000000.0
philippines,5.429999828,17.8,16.7,20.5,12.6,32.2,58,437146000000.0
serbia,5.394999981,51.7,35.2,21.1,25.0,15.5,56,75187125427.0
jordan,5.335999966,93.8,27.6,24.4,23.6,22.9,34,50813642349.0
china,5.272999763,70.8,25.6,18.0,30.7,18.8,9,17794800000000.0
pakistan,5.269000053,41.2,30.2,25.3,31.9,25.5,32,338368000000.0
indonesia,5.262000084,74.3,16.6,9.1,16.1,10.4,56,1371170000000.0
venezuela,5.25,31.6,10.3,7.9,9.3,12.3,13,482359318767.7031
morocco,5.235000134,79.9,23.2,13.5,23.7,16.9,37,141109000000.0
greece,5.227000237,33.3,25.7,24.4,21.6,13.5,85,238206000000.0
lebanon,5.224999905,47.7,40.2,35.9,31.2,30.3,39,20992421948.808086
vietnam,5.073999882,76.1,52.8,62.4,50.0,49.8,20,429717000000.0
nigeria,5.073999882,89.0,13.4,15.8,13.4,9.6,44,362815000000.0
kyrgyzstan,5.004000187,73.3,20.9,25.7,32.4,12.2,26,13987627909.0
mongolia,4.954999924,45.8,29.3,20.6,25.4,15.6,84,19872180370.0
tunisia,4.804999828,54.9,23.8,20.6,32.5,23.1,44,48529595417.0
egypt,4.735000134,84.0,20.0,16.5,13.4,25.7,18,395926000000.0
bangladesh,4.607999802,77.3,39.5,31.8,33.8,45.3,45,437415000000.0
kenya,4.552999973,73.1,6.8,6.8,3.7,2.6,51,107441000000.0
myanmar,4.545000076,91.3,72.8,70.4,71.2,70.8,7,64815031669.0
iraq,4.497000217,55.1,38.5,31.8,34.8,40.2,31,250843000000.0
ethiopia,4.460000038,69.1,16.1,16.4,11.3,7.1,18,163698000000.0
armenia,4.375999928,82.2,24.7,27.2,35.6,14.7,54,24212134631.0
india,4.315000057,62.6,44.3,25.4,27.6,24.9,63,3549920000000.0
ukraine,4.096000195,46.2,23.4,23.4,22.5,25.9,51,178757000000.0
zimbabwe,3.875,89.1,4.9,5.2,5.3,5.6,26,26538273499.0
